日期,周,一厂白天,一厂黑天,二厂白天,二厂黑天
2021-09-24,5,G,H,I,A
2021-09-25,6,B,C,D,E
2021-09-26,7,F,G,H,I
2021-09-27,1,A,B,C,D
2021-09-28,2,E,F,G,H
2021-09-29,3,I,A,B,C
2021-09-30,4,D,E,F,G
2021-10-01,5,H,I,A,B
2021-10-02,6,C,D,E,F
2021-10-03,7,G,H,I,A
2021-10-04,1,B,C,D,E
2021-10-05,2,F,G,H,I
2021-10-06,3,A,B,C,D
2021-10-07,4,E,F,G,H
2021-10-08,5,I,A,B,C
2021-10-09,6,D,E,F,G
2021-10-10,7,H,I,A,B
2021-10-11,1,C,D,E,F
2021-10-12,2,G,H,I,A
2021-10-13,3,B,C,D,E
2021-10-14,4,F,G,H,I
2021-10-15,5,A,B,C,D
2021-10-16,6,E,F,G,H
2021-10-17,7,I,A,B,C
2021-10-18,1,D,E,F,G
2021-10-19,2,H,I,A,B
2021-10-20,3,C,D,E,F
2021-10-21,4,G,H,I,A
2021-10-22,5,B,C,D,E
2021-10-23,6,F,G,H,I
2021-10-24,7,A,B,C,D
2021-10-25,1,E,F,G,H
2021-10-26,2,I,A,B,C
2021-10-27,3,D,E,F,G
2021-10-28,4,H,I,A,B
2021-10-29,5,C,D,E,F
2021-10-30,6,G,H,I,A
2021-10-31,7,B,C,D,E
2021-11-01,1,F,G,H,I
2021-11-02,2,A,B,C,D
2021-11-03,3,E,F,G,H
2021-11-04,4,I,A,B,C
2021-11-05,5,D,E,F,G
2021-11-06,6,H,I,A,B
2021-11-07,7,C,D,E,F
2021-11-08,1,G,H,I,A
2021-11-09,2,B,C,D,E
2021-11-10,3,F,G,H,I
2021-11-11,4,A,B,C,D
2021-11-12,5,E,F,G,H
2021-11-13,6,I,A,B,C
2021-11-14,7,D,E,F,G
2021-11-15,1,H,I,A,B
2021-11-16,2,C,D,E,F
2021-11-17,3,G,H,I,A
2021-11-18,4,B,C,D,E
2021-11-19,5,F,G,H,I
2021-11-20,6,A,B,C,D
2021-11-21,7,E,F,G,H
2021-11-22,1,I,A,B,C
2021-11-23,2,D,E,F,G
2021-11-24,3,H,I,A,B
2021-11-25,4,C,D,E,F
2021-11-26,5,G,H,I,A
2021-11-27,6,B,C,D,E
2021-11-28,7,F,G,H,I
2021-11-29,1,A,B,C,D
2021-11-30,2,E,F,G,H
2021-12-01,3,I,A,B,C
2021-12-02,4,D,E,F,G
2021-12-03,5,H,I,A,B
2021-12-04,6,C,D,E,F
2021-12-05,7,G,H,I,A
2021-12-06,1,B,C,D,E
2021-12-07,2,F,G,H,I
2021-12-08,3,A,B,C,D
2021-12-09,4,E,F,G,H
2021-12-10,5,I,A,B,C
2021-12-11,6,D,E,F,G
2021-12-12,7,H,I,A,B
2021-12-13,1,C,D,E,F
2021-12-14,2,G,H,I,A
2021-12-15,3,B,C,D,E
2021-12-16,4,F,G,H,I
2021-12-17,5,A,B,C,D
2021-12-18,6,E,F,G,H
2021-12-19,7,I,A,B,C
2021-12-20,1,D,E,F,G
2021-12-21,2,H,I,A,B
2021-12-22,3,C,D,E,F
2021-12-23,4,G,H,I,A
2021-12-24,5,B,C,D,E
2021-12-25,6,F,G,H,I
2021-12-26,7,A,B,C,D
2021-12-27,1,E,F,G,H
2021-12-28,2,I,A,B,C
2021-12-29,3,D,E,F,G
2021-12-30,4,H,I,A,B
2021-12-31,5,C,D,E,F
2022-01-01,6,G,H,I,A
2022-01-02,7,B,C,D,E
2022-01-03,1,F,G,H,I
2022-01-04,2,A,B,C,D
2022-01-05,3,E,F,G,H
2022-01-06,4,I,A,B,C
2022-01-07,5,D,E,F,G
2022-01-08,6,H,I,A,B
2022-01-09,7,C,D,E,F
2022-01-10,1,G,H,I,A
2022-01-11,2,B,C,D,E
2022-01-12,3,F,G,H,I
2022-01-13,4,A,B,C,D
2022-01-14,5,E,F,G,H
2022-01-15,6,I,A,B,C
2022-01-16,7,D,E,F,G
2022-01-17,1,H,I,A,B
2022-01-18,2,C,D,E,F
2022-01-19,3,G,H,I,A
2022-01-20,4,B,C,D,E
2022-01-21,5,F,G,H,I
2022-01-22,6,A,B,C,D
2022-01-23,7,E,F,G,H
2022-01-24,1,I,A,B,C
2022-01-25,2,D,E,F,G
2022-01-26,3,H,I,A,B
2022-01-27,4,C,D,E,F
2022-01-28,5,G,H,I,A
2022-01-29,6,B,C,D,E
2022-01-30,7,F,G,H,I
2022-01-31,1,A,B,C,D
2022-02-01,2,E,F,G,H
2022-02-02,3,I,A,B,C
2022-02-03,4,D,E,F,G
2022-02-04,5,H,I,A,B
2022-02-05,6,C,D,E,F
2022-02-06,7,G,H,I,A
2022-02-07,1,B,C,D,E
2022-02-08,2,F,G,H,I
2022-02-09,3,A,B,C,D
2022-02-10,4,E,F,G,H
2022-02-11,5,I,A,B,C
2022-02-12,6,D,E,F,G
2022-02-13,7,H,I,A,B
2022-02-14,1,C,D,E,F
2022-02-15,2,G,H,I,A
2022-02-16,3,B,C,D,E
2022-02-17,4,F,G,H,I
2022-02-18,5,A,B,C,D
2022-02-19,6,E,F,G,H
2022-02-20,7,I,A,B,C
2022-02-21,1,D,E,F,G
2022-02-22,2,H,I,A,B
2022-02-23,3,C,D,E,F
2022-02-24,4,G,H,I,A
2022-02-25,5,B,C,D,E
2022-02-26,6,F,G,H,I
2022-02-27,7,A,B,C,D
2022-02-28,1,E,F,G,H
2022-03-01,2,I,A,B,C
2022-03-02,3,D,E,F,G
2022-03-03,4,H,I,A,B
2022-03-04,5,C,D,E,F
2022-03-05,6,G,H,I,A
2022-03-06,7,B,C,D,E
2022-03-07,1,F,G,H,I
2022-03-08,2,A,B,C,D
2022-03-09,3,E,F,G,H
2022-03-10,4,I,A,B,C
2022-03-11,5,D,E,F,G
2022-03-12,6,H,I,A,B
2022-03-13,7,C,D,E,F
2022-03-14,1,G,H,I,A
2022-03-15,2,B,C,D,E
2022-03-16,3,F,G,H,I
2022-03-17,4,A,B,C,D
2022-03-18,5,E,F,G,H
2022-03-19,6,I,A,B,C
2022-03-20,7,D,E,F,G
2022-03-21,1,H,I,A,B
2022-03-22,2,C,D,E,F
2022-03-23,3,G,H,I,A
2022-03-24,4,B,C,D,E
2022-03-25,5,F,G,H,I
2022-03-26,6,A,B,C,D
2022-03-27,7,E,F,G,H
2022-03-28,1,I,A,B,C
2022-03-29,2,D,E,F,G
2022-03-30,3,H,I,A,B
2022-03-31,4,C,D,E,F
2022-04-01,5,G,H,I,A
2022-04-02,6,B,C,D,E
2022-04-03,7,F,G,H,I
2022-04-04,1,A,B,C,D
2022-04-05,2,E,F,G,H
2022-04-06,3,I,A,B,C
2022-04-07,4,D,E,F,G
2022-04-08,5,H,I,A,B
2022-04-09,6,C,D,E,F
2022-04-10,7,G,H,I,A
2022-04-11,1,B,C,D,E
2022-04-12,2,F,G,H,I
2022-04-13,3,A,B,C,D
2022-04-14,4,E,F,G,H
2022-04-15,5,I,A,B,C
2022-04-16,6,D,E,F,G
2022-04-17,7,H,I,A,B
2022-04-18,1,C,D,E,F
2022-04-19,2,G,H,I,A
2022-04-20,3,B,C,D,E
2022-04-21,4,F,G,H,I
2022-04-22,5,A,B,C,D
2022-04-23,6,E,F,G,H
2022-04-24,7,I,A,B,C
2022-04-25,1,D,E,F,G
2022-04-26,2,H,I,A,B
2022-04-27,3,C,D,E,F
2022-04-28,4,G,H,I,A
2022-04-29,5,B,C,D,E
2022-04-30,6,F,G,H,I
2022-05-01,7,A,B,C,D
2022-05-02,1,E,F,G,H
2022-05-03,2,I,A,B,C
2022-05-04,3,D,E,F,G
2022-05-05,4,H,I,A,B
2022-05-06,5,C,D,E,F
2022-05-07,6,G,H,I,A
2022-05-08,7,B,C,D,E
2022-05-09,1,F,G,H,I
2022-05-10,2,A,B,C,D
2022-05-11,3,E,F,G,H
2022-05-12,4,I,A,B,C
2022-05-13,5,D,E,F,G
2022-05-14,6,H,I,A,B
2022-05-15,7,C,D,E,F
2022-05-16,1,G,H,I,A
2022-05-17,2,B,C,D,E
2022-05-18,3,F,G,H,I
2022-05-19,4,A,B,C,D
2022-05-20,5,E,F,G,H
2022-05-21,6,I,A,B,C
2022-05-22,7,D,E,F,G
2022-05-23,1,H,I,A,B
2022-05-24,2,C,D,E,F
2022-05-25,3,G,H,I,A
2022-05-26,4,B,C,D,E
2022-05-27,5,F,G,H,I
2022-05-28,6,A,B,C,D
2022-05-29,7,E,F,G,H
2022-05-30,1,I,A,B,C
2022-05-31,2,D,E,F,G
2022-06-01,3,H,I,A,B
2022-06-02,4,C,D,E,F
2022-06-03,5,G,H,I,A
2022-06-04,6,B,C,D,E
2022-06-05,7,F,G,H,I
2022-06-06,1,A,B,C,D
2022-06-07,2,E,F,G,H
2022-06-08,3,I,A,B,C
2022-06-09,4,D,E,F,G
2022-06-10,5,H,I,A,B
2022-06-11,6,C,D,E,F
2022-06-12,7,G,H,I,A
2022-06-13,1,B,C,D,E
2022-06-14,2,F,G,H,I
2022-06-15,3,A,B,C,D
2022-06-16,4,E,F,G,H
2022-06-17,5,I,A,B,C
2022-06-18,6,D,E,F,G
2022-06-19,7,H,I,A,B
2022-06-20,1,C,D,E,F
2022-06-21,2,G,H,I,A
2022-06-22,3,B,C,D,E
2022-06-23,4,F,G,H,I
2022-06-24,5,A,B,C,D
2022-06-25,6,E,F,G,H
2022-06-26,7,I,A,B,C
2022-06-27,1,D,E,F,G
2022-06-28,2,H,I,A,B
